PL_target,PL_pred
115.7627,118.5374315
122.5733,112.3876865
81.9267,93.32520616
113.2005,118.1566237
93.5282,115.7986777
131.6461,119.9266965
112.1752,107.5809651
119.8725,109.2658452
113.5061,114.7004368
101.696,104.2769009
81.12666667,93.87188639
131.4533333,120.7888182
112.8117204,99.80391272
101.3773958,89.6768177
128.4206061,116.2701537
121.2933333,120.8266986
122.3192708,120.2257478
130.4533333,113.930155
83.67333333,94.41558742
91.54104762,83.82766482
96.37895833,98.92830707
127.7942708,101.4648183
127.3166667,114.6970278
96.18151515,93.71456637
117.3552778,119.5139946
126.4833333,114.3191485
113.2603226,121.9025711
125.3509091,123.3577319
87.71363636,100.1117399
100.0534375,109.2682138
122.0567647,112.1912134
89.61483871,94.93720247
124.6671875,108.9522352
71.09,95.4944756
122.52,116.2225592
104.1031183,92.72292494
94.43572917,98.50255363
102.6148485,118.6724329
130.13,115.836026
133.0957576,109.0653376
96.69393939,96.49997904
125.8545455,115.2318791
128.7582796,113.6374508
126.6904167,103.9385086
113.1951961,92.12178332
100.8115152,95.99277261
109.3286022,98.62796752
103.2347917,121.4318813
134.2866667,125.9025515
113.2684314,112.532047
132.3846667,104.5504694
113.2597917,120.2424795
101.6445455,96.5167709
124.311828,121.0661596
137.3869892,111.0077986
84.02333333,97.09297079
129.6833333,117.3425693
113.8669697,110.86227
95.88760417,97.0383561
130.2714943,111.6880487
127.6829032,126.0493575
124.6433333,119.2432973
106.6,103.0250502
129.3588235,124.3912097
94.73290323,100.7298378
102.18625,112.699829
120.6593939,122.6445871
128.54,127.6283199
131.58,118.8394562
108.1654545,100.2551417
130.6575269,118.1656422
116.4998958,112.1979539
126.4742157,114.6159363
115.1381818,105.227411
107.4239394,122.5796376
100.0377083,98.07459741
111.3433333,110.9200749
134.2092157,113.04162
111.8926042,100.7930596
137.3166667,118.8934288
121.0056989,112.8624771
87.32666667,87.49912208
122.2766667,115.3060925
90.76133333,101.5289385
115.4626882,101.3288566
105.0233333,104.7452678
121.2433333,109.5404944
114.5048958,99.64297687
135.6783333,119.6190945
133.2733333,130.0966132
101.4289216,104.7452678
101.5710753,99.10208058
124.8659375,113.6983002
133.1266667,122.2278064
113.1254545,101.8625976
101.0666667,105.3144741
110.324375,100.1592169
104.2602857,107.3579936
137.2767742,120.3427042
134.54,130.9289887
103.4180645,115.4038966
137.0925,108.1741789
116.0951613,117.8636078
99.77,100.7416989
106.3814583,100.6734628
113.4162745,126.9460483
124.3073958,124.8334688
102.5827083,105.8816862
134.6721569,108.7707723
108.4509091,95.90752007
135.7545098,115.723019
134.3733333,131.8030213
131.3942708,130.9514417
130.0633333,123.707838
119.1712121,97.57757851
105.2595833,101.1857735
107.8539216,108.5324737
122.4058333,115.4999951
111.7205208,127.7255442
127.6087619,118.0461423
108.2405747,96.37136239
102.2983333,100.6280322
123.7623958,127.3277877
128.91125,115.6525993
125.195,131.7615352
111.8879412,101.6962055
135.1135484,122.5018015
113.745625,128.5031615
134.89,133.4143835
109.6563636,104.5430037
123.8329167,116.3003103
103.4966667,107.5719352
125.84,112.616055
100.876381,109.6994369
115.655,116.8072473
110.4515447,109.3194428
102.8487879,105.0799852
130.1413542,121.4291898
107.3889247,127.9593225
102.1612381,101.6358418
129.1866667,134.2841096
84.46,102.2751309
91.61,102.7826595
123.9025,117.4581882
120.0947059,120.0812343
111.2890909,109.8964892
130.7288889,111.1383471
110.1996875,128.7203194
112.4808824,116.0719352
132.79,125.471141
102.2266667,108.6898138
124.9541667,124.6444639
92.26878788,108.6898138
92.55843137,106.1486795
95.78698925,102.6365579
123.8180952,105.8227778
115.1931579,121.4292601
97.9946875,109.2462158
129.7993939,123.5137276
130.655625,112.3115893
114.9597143,98.66344192
100.0657576,103.1343787
127.8133333,128.1044904
110.9415625,135.3100014
133.2458065,126.0644446
132.2483333,126.0644446
101.09875,132.3648826
120.075,130.1019124
104.8753125,102.7972832
100.4637143,109.8009877
100.3615152,120.7196978
131.96,137.5676145
136.525,127.6487256
122.060303,136.5855184
112.5,106.5831087
123.7933333,115.6471864
119.2730303,120.0451857
123.0122523,122.7707637
90.419,107.4038989
106.039697,131.7475406
100.2195833,104.1251738
86.70333333,104.7960075
118.841982,120.1510135
133.8933333,129.55686
117.8033333,101.3221003
111.36,110.9058146
133.7933333,139.1520209
103.8008333,92.13194321
118.2921905,123.439178
112.3755333,112.7567955
103.1324242,110.9058146
104.3848958,104.6182339
135.0298039,121.6479011
107.5890909,113.7304227
105.5462745,134.6625038
109.110303,104.2527705
103.8355914,108.7918568
100.8844762,122.685645
134.515619,126.2704735
114.2778495,100.4674397
92.67,105.7932416
89.64333333,106.2896416
127.2221212,121.9690569
110.0541667,135.4253951
96.21855856,92.88092154
135.1302151,115.216904
111.667193,126.1009488
112.3410784,100.9146774
107.9032292,134.0015796
135.8693137,122.9468782
134.0848485,129.5873424
99.12619048,93.25325038
122.9447126,118.9306401
124.8391228,137.8098196
105.0052083,109.8385893
135.4127451,127.6398951
102.780303,126.7771259
131.5563636,135.7450541
121.3248333,103.1568422
88.38666667,107.2781941
133.376,130.2875984
102.8830392,113.0977215
107.6182051,121.7362604
132.4333333,142.4460269
