PL_target,PL_pred
115.7627,114.6733823
122.5733,120.774974
81.9267,95.25503227
113.2005,122.2262979
93.5282,113.9843787
131.6461,122.6716051
112.1752,111.9170026
119.8725,119.9895948
113.5061,121.3568056
101.696,98.01021158
81.12666667,95.74613621
131.4533333,123.162709
112.8117204,110.2965694
101.3773958,94.70312728
128.4206061,114.3905277
121.2933333,123.1721271
122.3192708,115.6465786
130.4533333,121.7481703
83.67333333,96.22822857
91.54104762,93.62627361
96.37895833,97.33721791
127.7942708,118.6848456
127.3166667,122.2215758
96.18151515,109.4755161
117.3552778,115.7430607
126.4833333,122.1297763
113.2603226,116.5850104
125.3509091,124.5832331
87.71363636,98.27564967
100.0534375,113.5504499
122.0567647,121.9012229
89.61483871,97.03281268
124.6671875,121.1232747
71.09,97.16666033
122.52,123.1435404
104.1031183,96.8382196
94.43572917,98.21084973
102.6148485,123.725372
130.13,123.0517409
133.0957576,114.0847399
96.69393939,98.05800342
125.8545455,123.1817644
128.7582796,122.8072884
126.6904167,120.5293429
113.1951961,97.02971691
100.8115152,97.9388782
109.3286022,98.87087443
103.2347917,117.2436506
134.2866667,125.930877
113.2684314,115.1762745
132.3846667,120.9709213
113.2597917,124.6160775
101.6445455,98.38045659
124.311828,117.1586958
137.3869892,122.4709186
84.02333333,98.51430424
129.6833333,123.9424464
113.8669697,115.0667346
95.88760417,98.81473584
130.2714943,122.9051979
127.6829032,118.794151
124.6433333,124.8957427
106.6,100.4847903
129.3588235,118.4172276
94.73290323,99.96305196
102.18625,115.7595906
120.6593939,118.0201925
128.54,126.8017919
131.58,124.8039432
108.1654545,100.1527529
130.6575269,124.9052212
116.4998958,115.9143338
126.4742157,116.458153
115.1381818,114.3466158
107.4239394,125.897956
100.0377083,99.66233503
111.3433333,102.551362
134.2092157,123.7527971
111.8926042,100.5665141
137.3166667,125.3189825
121.0056989,116.3280951
87.32666667,97.60798896
122.2766667,116.8719142
90.76133333,100.7302817
115.4626882,100.9738602
105.0233333,101.7262793
121.2433333,123.5066508
114.5048958,100.6025676
135.6783333,125.7263285
133.2733333,128.0338628
101.4289216,101.7262793
101.5710753,100.4834424
124.8659375,117.0304308
133.1266667,126.5383585
113.1254545,101.374987
101.0666667,102.1274062
110.324375,101.0036944
104.2602857,102.5728402
137.2767742,126.1274554
134.54,128.4349896
103.4180645,117.4022064
137.0925,123.4750338
116.0951613,104.8627904
99.77,101.4135114
106.3814583,101.398789
113.4162745,120.1428578
124.3073958,119.6870535
102.5827083,102.5225008
134.6721569,123.8701285
108.4509091,100.3705025
135.7545098,125.3701258
134.3733333,128.8395023
131.3942708,121.2211026
130.0633333,127.3226943
119.1712121,101.0173734
105.2595833,101.7880301
107.8539216,103.3571759
122.4058333,117.9209037
111.7205208,120.5320989
127.6087619,118.4647229
108.2405747,100.7597436
102.2983333,101.6689049
123.7623958,120.4471441
128.91125,118.1983252
125.195,121.6046612
111.8879412,102.1715887
135.1135484,127.2953497
113.745625,120.9156575
134.89,129.6028839
109.6563636,102.7735621
123.8329167,118.5763647
103.4966667,103.67334
125.84,125.4537115
100.876381,104.118774
115.655,118.6825019
110.4515447,117.1147839
102.8487879,103.1516017
130.1413542,127.2989133
107.3889247,128.666124
102.1612381,102.4305031
129.1866667,129.9903416
84.46,102.5643507
91.61,102.9370278
123.9025,119.055179
120.0947059,119.5989981
111.2890909,117.487461
130.7288889,125.3936448
110.1996875,129.0388011
112.4808824,105.6922071
132.79,128.36517
102.2266667,104.4134818
124.9541667,128.413531
92.26878788,104.4134818
92.55843137,103.8917435
95.78698925,103.1706448
123.8180952,116.9003993
115.1931579,120.3288588
97.9946875,104.7758779
129.7993939,128.4014511
130.655625,126.1235056
114.9597143,102.6238796
100.0657576,103.5330409
127.8133333,129.5442956
110.9415625,130.9956195
133.2458065,129.1333924
132.2483333,129.1333924
101.09875,122.7537002
120.075,122.297896
104.8753125,116.7982359
100.4637143,105.1333432
100.3615152,120.4081435
131.96,131.4503447
136.525,129.4524961
122.060303,123.7953709
112.5,104.733591
123.7933333,127.2663816
119.2730303,120.495172
123.0122523,121.0389911
90.419,104.8973586
106.039697,130.4787941
100.2195833,104.2431732
86.70333333,104.3770208
118.841982,120.7370306
133.8933333,130.2449583
117.8033333,103.9396375
111.36,105.8340059
133.7933333,132.1415894
103.8008333,102.1230616
118.2921905,121.3869869
112.3755333,119.2754498
103.1324242,105.8340059
104.3848958,104.591169
135.0298039,128.681631
107.5890909,106.6228866
105.5462745,123.7978097
109.110303,117.8423453
103.8355914,105.6557143
100.8844762,121.4522529
134.515619,129.8030259
114.2778495,104.0254543
92.67,105.0684633
89.64333333,105.4074783
127.2221212,121.5256294
110.0541667,124.1368246
96.21855856,102.8055233
135.1302151,127.8640953
111.667193,109.2518518
112.3410784,104.3644693
107.9032292,131.5092515
135.8693137,129.3640927
134.0848485,130.851213
99.12619048,103.1402195
122.9447126,108.077742
124.8391228,124.7836011
105.0052083,106.3294254
135.4127451,130.476737
102.780303,109.586548
131.5563636,124.386566
121.3248333,105.2872814
88.38666667,106.0726605
133.376,131.1816991
102.8830392,107.1816499
107.6182051,108.8278398
132.4333333,133.4986514
